run,draw_idx,style_delta,prop_changed,deltas_pos_bigrams_mean,deltas_lexical_mean,n_sentences
2025-12-10_16-10-25_batch_ahosa,0,-0.10238134016495924,0.8953488372093024,-3.4398976860035506,-2.224758613561402,172
2025-12-10_16-10-25_batch_ahosa,1,-0.11039232311940718,0.8953488372093024,-3.639495861300882,-2.1182134321659434,172
2025-12-10_16-10-25_batch_ahosa,2,-0.10776015538649628,0.8953488372093024,-3.272930748441144,-2.110999190097418,172
2025-12-10_16-10-25_batch_ahosa,3,-0.10472741991357945,0.8953488372093024,-4.049352602791463,-1.949341624757253,172
2025-12-10_16-10-25_batch_ahosa,4,-0.10519902138393253,0.8953488372093024,-3.1474135735759137,-2.224777517148291,172
2025-12-10_16-10-25_batch_ahosa,5,-0.11485207301517715,0.8953488372093024,-3.202598243039532,-1.9801658552440997,172
2025-12-10_16-10-25_batch_ahosa,6,-0.11398358373295163,0.8953488372093024,-3.7103661192424586,-2.12264236132475,172
2025-12-10_16-10-25_batch_ahosa,7,-0.10728918126590119,0.8953488372093024,-3.1291185452984087,-1.9549834275806233,172
2025-12-10_16-10-25_batch_ahosa,8,-0.10414365011686419,0.8953488372093024,-3.6299432232634397,-2.05868181657598,172
2025-12-10_16-10-25_batch_ahosa,9,-0.11248205024224349,0.8953488372093024,-3.7970000913961783,-2.268901845007477,172
2025-12-10_16-10-25_batch_ahosa,10,-0.11283220318827572,0.8953488372093024,-3.5758026504195737,-2.019937068903003,172
2025-12-10_16-10-25_batch_ahosa,11,-0.10626447158904856,0.8953488372093024,-3.644609273596278,-2.2521728945754194,172
2025-12-10_16-10-25_batch_ahosa,12,-0.10465700887199719,0.8953488372093024,-3.3767304115007857,-2.132546733459149,172
2025-12-10_16-10-25_batch_ahosa,13,-0.10314903992990039,0.8953488372093024,-4.034738200018306,-2.183814810596116,172
2025-12-10_16-10-25_batch_ahosa,14,-0.12147257212022158,0.8953488372093024,-3.2632009126046424,-2.004799032831004,172
2025-12-10_16-10-25_batch_ahosa,15,-0.11638480865473072,0.8953488372093024,-3.8838423171166223,-2.0237352348713573,172
2025-12-10_16-10-25_batch_ahosa,16,-0.10095200540186898,0.8953488372093024,-3.7991652458545757,-2.11611381679821,172
2025-12-10_16-10-25_batch_ahosa,17,-0.1217675772610929,0.8953488372093024,-3.064719517279678,-2.1525118714504186,172
2025-12-10_16-10-25_batch_ahosa,18,-0.11121867442921746,0.8953488372093024,-3.2921041606101054,-2.1987464020678242,172
2025-12-10_16-10-25_batch_ahosa,19,-0.11306080844248968,0.8953488372093024,-3.148214237495305,-2.120240570440359,172
2025-12-10_16-10-25_batch_ahosa,20,-0.11794410574649336,0.8953488372093024,-3.18297193026085,-1.9896800112010753,172
2025-12-10_16-10-25_batch_ahosa,21,-0.11128748108348226,0.8953488372093024,-4.396703572281076,-2.116875167984064,172
2025-12-10_16-10-25_batch_ahosa,22,-0.11315844918151537,0.8953488372093024,-2.9311323768129975,-2.176624169674573,172
2025-12-10_16-10-25_batch_ahosa,23,-0.10733268361727528,0.8953488372093024,-3.696423776598609,-1.9653532327012024,172
2025-12-10_16-10-25_batch_ahosa,24,-0.12359092564619367,0.8953488372093024,-3.120583982229893,-2.1090173157238534,172
2025-12-10_16-10-25_batch_ahosa,25,-0.10387137999851753,0.8953488372093024,-3.5590496300122663,-2.0319467373110696,172
2025-12-10_16-10-25_batch_ahosa,26,-0.11256520919266245,0.8953488372093024,-3.7503711782422053,-2.286057733585498,172
2025-12-10_16-10-25_batch_ahosa,27,-0.12018194764510601,0.8953488372093024,-3.3955507405345355,-2.1292790757963136,172
2025-12-10_16-10-25_batch_ahosa,28,-0.12082470800204953,0.8953488372093024,-3.5007890036239093,-2.009412278497098,172
2025-12-10_16-10-25_batch_ahosa,29,-0.0994961154309166,0.8953488372093024,-3.6558382046794424,-2.09763196946316,172
2025-12-10_16-10-25_batch_ahosa,30,-0.10048892764960156,0.8953488372093024,-3.5156143454774424,-2.1676854605576517,172
2025-12-10_16-10-25_batch_ahosa,31,-0.10871036695111302,0.8953488372093024,-3.5361956984864196,-1.9644098715516942,172
2025-12-10_16-10-25_batch_ahosa,32,-0.11368171440835824,0.8953488372093024,-3.8552242475490655,-1.9263128794955453,172
2025-12-10_16-10-25_batch_ahosa,33,-0.10669348317662339,0.8953488372093024,-3.4400941297742484,-2.2113253413901814,172
2025-12-10_16-10-25_batch_ahosa,34,-0.11260518848112934,0.8953488372093024,-3.1137893606207347,-2.189448011871611,172
2025-12-10_16-10-25_batch_ahosa,35,-0.11156569075356691,0.8953488372093024,-3.798815417919319,-2.2983664274738587,172
2025-12-10_16-10-25_batch_ahosa,36,-0.10812936666422839,0.8953488372093024,-3.2240724150579267,-2.1538854487154624,172
2025-12-10_16-10-25_batch_ahosa,37,-0.10950357195654253,0.8953488372093024,-3.312739652278623,-1.990107703381775,172
2025-12-10_16-10-25_batch_ahosa,38,-0.11427813300497425,0.8953488372093024,-3.544419223421954,-2.2050809213557367,172
2025-12-10_16-10-25_batch_ahosa,39,-0.11167789542510312,0.8953488372093024,-3.5010901076622067,-2.0402189218870426,172
2025-12-10_16-10-25_batch_ahosa,40,-0.11061015652940902,0.8953488372093024,-3.439179519319744,-1.9575559926290254,172
2025-12-10_16-10-25_batch_ahosa,41,-0.11222793531262767,0.8953488372093024,-3.8178905995583534,-2.1617711685858794,172
2025-12-10_16-10-25_batch_ahosa,42,-0.11509674556082644,0.8953488372093024,-3.659078583064669,-1.8646481844852663,172
2025-12-10_16-10-25_batch_ahosa,43,-0.11231146590464669,0.8953488372093024,-3.4266153397009713,-2.1702028273519027,172
2025-12-10_16-10-25_batch_ahosa,44,-0.10971175426769071,0.8953488372093024,-3.5487113688074543,-2.2552051128850144,172
2025-12-10_16-10-25_batch_ahosa,45,-0.09997762467068082,0.8953488372093024,-3.640528764716229,-2.1136644554164183,172
2025-12-10_16-10-25_batch_ahosa,46,-0.11085825606028225,0.8953488372093024,-4.003979237693478,-2.1160405851478896,172
2025-12-10_16-10-25_batch_ahosa,47,-0.11005875866373654,0.8953488372093024,-3.709790013201598,-2.084809005632984,172
2025-12-10_16-10-25_batch_ahosa,48,-0.09954931274160149,0.8953488372093024,-3.514913123068384,-2.064463184614981,172
2025-12-10_16-10-25_batch_ahosa,49,-0.11762960563418916,0.8953488372093024,-2.899322874896016,-2.3236939407472943,172
2025-12-10_16-11-45_batch_cogneuro,0,-0.05757106077306851,0.95,-1.2383424231150348,-1.2214733596285106,100
2025-12-10_16-11-45_batch_cogneuro,1,-0.0776329463586282,0.95,-3.117279242326373,-1.0227495365024672,100
2025-12-10_16-11-45_batch_cogneuro,2,-0.07181643498746101,0.95,-2.982999045280072,-0.9242853201832617,100
2025-12-10_16-11-45_batch_cogneuro,3,-0.07001103341704693,0.95,-2.2412899180268715,-1.2709408214367028,100
2025-12-10_16-11-45_batch_cogneuro,4,-0.054872499449584194,0.95,-1.2673087888897476,-0.810335151800459,100
2025-12-10_16-11-45_batch_cogneuro,5,-0.07785359120394841,0.95,-2.385648168836671,-1.345945050463797,100
2025-12-10_16-11-45_batch_cogneuro,6,-0.05865154263968805,0.95,-0.707250399682376,-1.0395725576556036,100
2025-12-10_16-11-45_batch_cogneuro,7,-0.06966508825601726,0.95,-2.048624176067928,-1.40693702707882,100
2025-12-10_16-11-45_batch_cogneuro,8,-0.054010967481671265,0.95,-1.849029734004406,-1.103480887595769,100
2025-12-10_16-11-45_batch_cogneuro,9,-0.07479719690168261,0.95,-1.9426384548821727,-0.9746286948723009,100
2025-12-10_16-11-45_batch_cogneuro,10,-0.06200879017118792,0.95,-2.059770306591478,-1.3388839193193247,100
2025-12-10_16-11-45_batch_cogneuro,11,-0.06320028882339847,0.95,-1.6361691452600298,-1.1922939248287754,100
2025-12-10_16-11-45_batch_cogneuro,12,-0.06852329271905004,0.95,-1.5836085397542137,-1.5216637879664874,100
2025-12-10_16-11-45_batch_cogneuro,13,-0.041171939482132734,0.95,-1.372486858076046,-0.9591931001682736,100
2025-12-10_16-11-45_batch_cogneuro,14,-0.06529554553911875,0.95,-1.9635557187852348,-1.1012168919193321,100
2025-12-10_16-11-45_batch_cogneuro,15,-0.06964851808057661,0.95,-1.9807564546756913,-1.3412423990977977,100
2025-12-10_16-11-45_batch_cogneuro,16,-0.03980179095682213,0.95,-1.4164836016952416,-1.1381418372337142,100
2025-12-10_16-11-45_batch_cogneuro,17,-0.0671541314640952,0.95,-2.2201956999527472,-1.1133803008032603,100
2025-12-10_16-11-45_batch_cogneuro,18,-0.06866961720926104,0.95,-2.3337659109928084,-1.4738699940560736,100
2025-12-10_16-11-45_batch_cogneuro,19,-0.06802673891875838,0.95,-2.082249056268608,-1.264626899704402,100
2025-12-10_16-11-45_batch_cogneuro,20,-0.07793072742043286,0.95,-0.9580701388266087,-1.0355154426178252,100
2025-12-10_16-11-45_batch_cogneuro,21,-0.0456684580444617,0.95,-2.5001452016432495,-1.2749950993095738,100
2025-12-10_16-11-45_batch_cogneuro,22,-0.052270587814757304,0.95,-2.754824345235709,-1.3120497308050163,100
2025-12-10_16-11-45_batch_cogneuro,23,-0.06312133581621227,0.95,-2.0097646720620737,-1.2163436492445892,100
2025-12-10_16-11-45_batch_cogneuro,24,-0.0799010928239502,0.95,-1.3760842434322063,-1.3486774104025914,100
2025-12-10_16-11-45_batch_cogneuro,25,-0.06782626861562976,0.95,-2.118475725094915,-1.379923957362939,100
2025-12-10_16-11-45_batch_cogneuro,26,-0.06610583262871456,0.95,-1.7374075947422523,-1.3984832359862216,100
2025-12-10_16-11-45_batch_cogneuro,27,-0.07422925825537512,0.95,-2.016781511567767,-1.2480476022343414,100
2025-12-10_16-11-45_batch_cogneuro,28,-0.07027014707331136,0.95,-1.3733330892240034,-1.432470983005715,100
2025-12-10_16-11-45_batch_cogneuro,29,-0.07746959130330079,0.95,-1.5455568287740062,-1.1067768474286814,100
2025-12-10_16-11-45_batch_cogneuro,30,-0.0543835131764021,0.95,-2.017713167526672,-1.2090365325681667,100
2025-12-10_16-11-45_batch_cogneuro,31,-0.07195122698442477,0.95,-1.9791652768322707,-1.4814764900715578,100
2025-12-10_16-11-45_batch_cogneuro,32,-0.06308593827896501,0.95,-2.29900169440042,-1.1901817471304073,100
2025-12-10_16-11-45_batch_cogneuro,33,-0.061740737827529785,0.95,-1.138137375959303,-0.8801707006066307,100
2025-12-10_16-11-45_batch_cogneuro,34,-0.06776309921653743,0.95,-2.232467954158995,-0.8947699749342716,100
